index,text
11,"It was a dark and stormy night; the rain fell in torrents—except at occasional intervals, when it was checked by a violent gust of wind which swept up the streets (for it is in London that our scene lies), rattling along the housetops, and fiercely agitating the scanty flame of the lamps that struggled against the darkness.  
"
12,"It was a dark and stormy . . . morning, Gotcha! -- this is just the first of innumerable twists and turns that you, dear Reader, will struggle to keep abreast of as I unfold my tale of adventure as second plumber aboard the hapless SS Hotdog during that fateful summer of 1974.
"
13,"It was a dark and stormy night that caused Beryl's anxiety to flare up, that and the giant mutated Madagascan Hissing cockroach which had taken residence in her kitchen, and earlier that evening had made light work of Nibbles, her ageing Mini Lop Rabbit.
"
14,"Dark and stormy, the night screamed like a ravished virgin .... the dark, stormy night ranted madly in a barometric tantrum .... it was an ebonic nocturnal tempest .... the stygian typhoon of eventide .... prosopopeic fuliginous Nyx, enceinte as it were with lachrymal lamia farouche as Hecate, disbosomed upon her terrene demiorb an empyreal borasque.
"
15,"Upon his death, Van Helsing wrote: “This Vexes me still to-day . . .  with no Mirror able to cast his Curs’d Reflection, how did Dracula comb his hair so perfectly every time and achieve such a clean, close shave that brought the babes in truckloads??”
"
16,"Our story begins in the cozy cottage of Bynnoldh-Dyr, son of Asgwitch-Torgwyr, in the idyllic elven village of Myrthffolwrd, but our book actually begins some two hundred pages earlier, in which you are pummeled by irrelevant history and unpronounceable names, because my publisher is paying me by the word.
"
17,"Choking back his frustration at his parents, Marcus Licinius Junius Dextus Sextus Gnaeus Castor Ligantor Germanicus barked his name again at the boatman holding the list, certain that the man was toying with him, whilst in the background Mount Vesuvius rumbled like a pregnant woman with severe morning sickness.
"
18,"Standing on the top of his half-finished pyramid, and surveying the long rows of stone pullers and whip crackers, the Pharaoh had a pang of doubt: was he building the key to his eternal life, or would it later be regarded as a mere tourist trap?
"
19,"Neanderthal parents Hru-Vak and Chee were none too happy when their oldest girl Fa-al brought home one of those recently arrived Homo sapien boys but after a while they grew accustomed to his non-protruding brow ridge, upright posture, and problem-solving abilities
"
20,"To the rest of the world, General Sir Antony Alexander Agamemnon Hardcastle may have been the Scourge of the French, the Hero of the Borghorst Pass, and the fourth-worst enemy of the late Napoleon Bonaparte, but to the waitress at the Badger's Head Tavern and Grill, he was just another customer -- and if he called her ""cutie pie"" one more time, she was going to do to him with one fork what Boney couldn't with a thousand men.
"
21,"With one bound she was at the bookcase reaching for the heaviest book she could find to halt her attacker, a thesaurus of indeterminate, inconclusive, or unstipulated weight, ponderosity, or heftiness, with which she intended to pummel, lapidate or belabor her assailant’s skull, cranium or brainpan.
"
22,"As the dawn begin to break, Debby and Robert, their arms tightly wrapped around each other, watched in awe as the sky turned a brilliant pinkish red as the sun’s rays inched their way down the slopes of the craggy peaks of the Rocky Mountains, but this was Canada so the rays were centimetering their way down the slopes.  
"
23,"A major city’s new community policing guidelines have struck a notable compromise: police will first attempt to defuse all conflict situations by singing, “Stop, in the Name of Love,” but the public should know that holding palms out like The Supremes is optional, as is “before you break my heart!”
"
24,"Virginia knew Gerald would make love like a recently released convict, probably because he was a recently released convict, and Virginia always fell for his type, not the least because the diner where she worked was between the gates of the penitentiary and the bus stop.
"
25,"The ragged and exhausted boy looked tearfully up at his long-lost Aunt Betsey and exclaimed, “I am David Copperfield, and I have been slighted, and taught nothing, and put to work not fit for me, and robbed, and walked all this way from London, and never slept in a bed, and between you and me, this crap has got to stop!”
"
26,"It is not until Liam sat down, wrapped in a white, blue, and red flag, with a bucket of fried chicken, throwing the bones in the plastic-filled ocean next to him while stroking his gun that he realized he had become truly American.
"
27,"We all knew that a butterfly flapping its wings in Thailand would have little to no effect on our current criminal undertaking, but we refused to leave anything to chance and so the cut-throatiest among us were about to set off on the genre defining adventure of a lifetime to find and kill that butterfly.
"
28,"I’m a very smart and loyal dog, but when I found out that the average lifespan of a dog is about thirteen years and a human’s is nearly eighty years, I didn’t see the fairness in that at all, so on the day after his fourteenth birthday I lured Timmy to the old abandoned well and when he looked in I jumped on his back and knocked him in, his final words echoing from below: “Why, Lassie, why?”
"
29,"His fist lashed out like one of those boxing gloves on a spring you used to see in Saturday morning cartoons when you were just a kid out of your mind on sugary cereal and unaware that your parents were having sex in the bedroom and hit me hard right between the eyes.
"
30,"Sonny hated life on the farm -- the cloying reek of overripe figs, the acrid stench of chickens, the tangy funk of oxen, and the malodorous attitude of his older brother; nonetheless, he was grateful to be home after some riotous living abroad which had left him denarii-strapped, and his stomach growled at the sight of the fetid calf.
"
31,"“You're a lazy, indolent, slothful, idle, good-for-nothing, work-shy, sluggish, inactive, bone-idle, inert, skiving, lackadaisical, listless, apathetic, lumpish layabout!"" exclaimed Mrs. Roget when she saw the state of her son's bedroom.
"
32,"Two Thursdays after I met Wanda I awoke outside the Luby’s sporting a fresh three-inch gash on my forehead and staring at the scorched remnants of the chopper, unaware that my bank account had emptied faster than the Hogwarts adjunct faculty lounge after J.K. Rowling decided that surely somebody must’ve been suffering from moderate-to-severe plaque psoriasis.
"
33,"Brigid O’Hanion was the fairest flower of Southern womanhood, and Lt. Lance Beauregard was almost blind with lust for her, but after he slipped off her hoop skirt, unbuttoned her lacy blouse, untied her incredibly tight corset, dove beneath the rustling crinoline petticoats, and laboriously inched off her pantalets, he realized his mood had shifted and he now wondered if there was still some cold ham on the sideboard downstairs.
"
34,"He had never seen such a beautiful woman, he thought to himself as his blind date was being escorted to their table at the restaurant, although unfortunately he hadn't seen her yet and was just staring at a framed photograph taken three years earlier of a famous actress standing awkwardly with the restaurant manager.
"
35,"He figured a little tongue-flirting in the afternoon might open the door to some serious sandy acrobatics in the evening, but he was wrong, because his wife, like all two-banded Duck Head Lizards, only enjoyed love in the hot noontime sun.
"
36,"The door to happiness, which was now closed so cruelly for Clare, had been slammed shut the day Jimmy died, yet she lived in hope that someday somewhere someone would come, not perhaps with that superior key of Jimmy’s, the one that fitted the compatible lock of her affections so perfectly, but one like the card-key that finally manages to open the door of your dreary motel room after a whole heap of jiggling and fiddling.
"
37,"As he dejectedly flipped the light switch on, Mason’s heavy sigh did little to fill the lonesome expanse of his bathroom where only the HIS towel remained, crumpled in a stiff pile on the floor, like a rigor mortis-riddled reminder of the death of his marriage now awaiting a chalk outline.
"
38,"Even out here in zero gravity her absence was dragging him down, he missed her wonky smile, her long delicate fingers, the little moments, the scales of her inner thighs rubbing against his soft human skin, her tentacles stretching involuntarily during the night and stealing the covers, but she was gone now and a million light years kept them apart.
"
39,"In the waning seconds before a blinding blast from the evil enemy’s warship turned Sam’s spaceship into a mini-sun bursting forth in the scorched planet’s night sky like a budding rose in the blush of spring on another planet that still had seasons, he waxed poetic about how different his life would have been if he’d taken his uncle’s offer to become a shepherd on that planet that still had seasons.
"
40,"On the distant planet Okra Minor, Botanical Man thought about his girlfriend Iris gracefully slipping off her frilly green planties and maybe removing her bracts, and his mind was suddenly awhirl with all the love-words in his language: stamen, pistil, petiole, blossom, pollen, honeybee, seedling, sap; his fronds opened up and his tendrils would be a-quiver until he met her again by pale moonlight in their private plant-bed.
"
41,"Astronomer Herschel Williams deeply regretted notifying the Interstellar Patrol that he had discovered a microwave-emitting star, as his new duties consisted solely of piloting the cargo ship Redenbacher around the star three times a week, its holds filled with popcorn and that rancid-smelling butter substitute.
"
42,"As hard-nosed P.I. Dan McKinnon stepped out into the gray gritty dawn, a bone chilling gust of filth-strewn wind wrapped the loose ends of his open trench coat around him like a day-old flour tortilla around a breakfast burrito with hash browns, sausage, and scrambled eggs, hold the pico.
"
43,"""Haul away on those slug guskets, you bilge-scum!"" roared the aged captain, leaning wearily against the starboard clog-hutch and watching as the mizzen spittlestoat rose majestically upward until it cuzzled atop the upper spit flukes, and cursing his fate that rum and advancing years compelled him to continually improvise names for the rigging of his own ship but then deciding, with a resigned sigh, that it didn't really matter.
"
44,"Sally loved Geoff so deeply that if he were a pirate on a dread pirate ship (and not an insurance adjuster), snarling and drinking, murdering and raping his way across the Caribbean (well, maybe not raping, it was the sentiment that counted) and he had a peg leg, she would have gladly sawed her own leg off and sewed it to his stump with silken threads, so he could dance again, holding her up since she was now a sudden amputee.
"
45,"None of us, not a single jack-tar of the ten poor souls consigned to the only surviving lifeboat from our torpedoed freighter, the “S.S. Walter Jacob,” the noblest vessel that ever hauled the weapons of war across the Seven Seas and back again, had a nickel's worth of life insurance.
"
46,"As he slowly shadowed the white Amazon Prime van down Midvale Drive in the Fresno suburbs on a sweltering July afternoon, Nigel “Cutthroat” Hawkins thought back over his career —fastboating along the Somali coast, broadcasting at 50,000 watts from international waters just off the Isle of Man, running half a million counterfeit “Bourne Identity” DVDs out of Hong Kong—and had but a single question: is this really what piracy has come to?
"
47,"As Charlotte meticulously finished her egg sac on the lonely rafter at the county fairgrounds, she thought about the future day when her children would burrow into Wilbur's flesh to consume him from the inside-out, and hummed her favorite song about the wheel of life rolling on.
"
48,"Dorothy and Toto got kicked out of Kansas just before that group had several hits back in the day but at least Toto achieved some success with his band, while poor Dorothy, penniless and insane, lived under a bridge, prostituting herself and screaming about rainbows.
"
49,"The first thing I noticed about the detective’s office was how much it reminded me of the baggage claim at a nearby airport: the carpet was half a century out of date, it reeked of cigarettes and cheap booze, and I was moderately certain that my case had been lost.
"
50,"“Handless” Harvey Hanker, the sharpest detective in the northern hemisphere, had little regard for fingerprints, but a nose like Karl Malden’s, and he could sniff out clues like a bloodhound with its nose buried in the groin of a fox.
"
51,"The fact that the cantor's body was covered with a lamb shank, salt water and a mysterious concoction called charoseth, led Chief Passover Homicide investigator Ari Ben-Zvi to describe the pattern of murders as ""uneven, perhaps unleavened.""
"
52,"It was a dark and stormy night, explained Moscow weatherman Sergei Ivanovitch Nabokov, or Sergei Invanovich, fondly called Seryozha by some and Seryozhenka by his family, but don’t bother memorizing that as Sergei won’t appear again until the end of this book, when his weather forecast is heard in the background as we learn that the main character, Alexei Dmitriovich Makarov, or Alexei Dmitriovich, also known as Alyosha, Alyoshka, or Alyoshenka ( or simply Alexei M.) has shockingly died.
"
53,"It was a dark and stormy night, the kind where the orchestra in a crime movie would bang on a piece of wavy sheet metal and blow raspberries to add ambience to the drizzle coming from an off-camera stagehand holding a garden hose.
"
54,"“So, these are Hobbits?” Grenwildr thought to herself, making an attempt to seem worldly and not at all surprised by how small they were, despite the pressure to purchase quickly; the price was right and the taxidermist would be closing shop soon.
"
55,"Upon reaching the age of 13, young Ker-Jar of the Hill People was anxious to complete the time honored Test-of-Manhood required for all boys his age; to hunt down and kill a corporate Director of Personnel Management using only a cordless belt sander.
"
56,"She was the aptly named Queen of Night, dark in demeanor and sullen in psyche, nocturnal as well so her given names, Madleve, Noirine, Vespereth were spoken only in the eboonic gloom of a moonless night whereas otherwise everyone just called her “Debbie.”
"
57,"""Master Wlfindermx sauntered across the Plains of Teflandous towards the city of Gjorgturc carrying the mythical Blade of Vulbertrian, once owned by Lord Leszsoriog,"" wrote the author, who wanted to make the life of the audiobook narrator a living hell.
"
58,"When Sir John of York fought in the crusades, he killed many Saracens with great dispatch, and was likened unto a whirling dervish of steel and Christian might—minus the dizziness from constantly spinning in a circle, and the fact that he was on a horse that couldn't do that.
"
59,"Before the beginning God leaned forward from the Empyrean Throne and gazed at the heaps of OED fascicles littered in layers across the cloudy carpet, still uncertain just which Word was the perfect one with which to begin and seriously annoyed that She had decided to do the whole damn thing in English . . .
"
60,"The fearsome isle of Gandew was home to two native tribes: the Lacenites, a proud warrior race, and the Demescans, a warrior race but not exactly proud of it, as they found the whole ""raping and pillaging"" enterprise a bit distasteful, but recognized the fact you can't build an empire on artisanal ceramics alone.
"
61,"Deep within the Great Pyramid, Pharaoh Khufu gazed at the walls of what would eventually be his burial chamber, asking himself what he had been thinking in entrusting its adornment to the teenaged Prince and Princess, but comforting himself with the certainty that the younger generation would soon tire of these annoying “emoticons” and return to the rich thirty-character Egyptian alphabet.
"
62,"It was the time of the Salem witch hunts when Pastor Edwin Shaunsberry entered his home one night to a scene of horror in which, just beyond his son drawing pentagrams on the floor and his wife writhing as if demon-possessed, he saw the cat with the last bit of bacon in its mouth.
"
63,"The biker gang roared into the parking lot of the bar and grill like a troop of howler monkeys trying to lure mates, the gravel beneath the tires of their well-oiled bikes crunching like the dill pickle spears the place served alongside their famous tuna salad, BLT, and Reuben sandwiches.
"
64,"Ah, dearest Lumplina: Her lips were a symphony, her face was a melody, and her body was a concerto—except for that one hangnail that was like a strident E-chord from a sleepy, hungover guitarist who, if he shows up drunk again to practice, so help me I will kick him out of the band—yes, that was Lumplina.
"
65,"He revved the engine—filling the air with a deep, throaty roar, rather like a giant with a wretched head cold, a rumbling cough, and nasty post nasal drip (the kind where your swollen throat hurts so horribly, and your eyes turn red and watery, which only makes the cold more drippy [and the phlegm!])—and sped off.
"
66,"On March seventeenth, when the dawning sunshine was drying up the rows of tufted fog lying gently over the meadows on both sides of the highway and turning them into wisps of lace floating over the road in front of him, Jamie, on his way home after a night shift at the plant, decided to quit.
"
67,"Hattie fell to the scratched mint linoleum floor with a thud heard only on the third day after Halloween, when discarded Jack-o'-lanterns are strewn over frozen fields, now rotting shells mashing into the permafrost, spilling seed like a sailor on furlough after seven months at sea.
"
68,"The rain fell in buckets as I walked the cobbled streets of Old Town, although I supposed, if rain really came in buckets one might land on my head and knock me unconscious so I’d much prefer raining cats and dogs because I’m quite fond of cats, but better still if were hot enough to fry an egg on the pavement as I’m rather peckish.
"
69,"In Gertrude’s experience lovemaking was always bittersweet, or at least it had been until one fateful night when Chaz, the seductive man behind the concession stand blessed her with the salty-sweet bliss reminiscent of both true romance and quality kettle corn.
"
70,"In his passion, he tore at her clothes, popping the buttons off her blouse, causing her to moan deeply, as she dreaded the thought of having to find beige buttons on the off-white carpeting, to say nothing of her hatred of sewing and her hopes that her favourite blouse wasn't ruined.
"
71,"Jarrod, lying in the bed next to Selina, on his side with his head in his hand, asked, “What would your husband do if he saw me right now?” and Selina, who was watching her husband sneak up on Jarrod holding a tire iron with two hands raised above his head, replied, “Probably sneak up on you with a tire iron raised above his head, preparing to use it for something other than its intended purpose.”
"
72,"Her lips hesitated to meet his—as one might hesitate to immerse their hand in the toilet tank to reconnect the chain, because they worry that the water is . . . you know, dirty—but she granted him the kiss (just as one does, eventually, fix the chain, because if not, the toilet will never flush, and who wants that?).
"
73,"Farmer Bob, unlucky in love and life in general, received yet another Dear John letter, this time from Bubbles Magaggaggey, the last blind woman in town, so here he was, alone and penniless; so penniless, in fact, that he neglected to make the payments on his tractor and soon received a John Deere letter, coincidentally from Bubbles, who ran the Tractor Emporium.
"
74,"It had been fifty-seven days since Madi left him, and still her stinging parting words slithered through Brett’s mind and echoed jarringly in the emptiness of his life like a half-frozen iguana falling out of a tree in an unseasonable Cozumel cold snap.
"
75,"""You folks from outa town?” inquired waitress Ginny, shifting her wad of gum, notepad at the ready to take the orders, while the slime-green, scale-covered, three-eyed members of the Dzznks family, who had travelled many a parsec from their rock planet home in the Large Magellanic Cloud, rubbering their eyes over the menu in Buck’s Diner, wondered if ‘grits’ tasted just as good as they sounded.
"
76,"“The quantum flux field of the post-Einsteinian hyperdrive has gone asymptotically and we are in danger of approaching singularity as described by the Schrodinger equations!” cried Captain Quirke, having no clue what he said, only knowing it sounded sciencey, secretly crossing his fingers behind his back and hoping there were no physicists reading because he didn’t want any pedantic letters saying it was nonsense.
"
77,"In the midst of fleeing the city which was under heavy assault by the invading aliens, known as Comadans, in their octagon shaped flying machines, Marjorie fell to the ground with a twisted ankle and feared the inevitable, until a Comadan, in a moment of alien compassion, picked her up and took her inside where he put her to work washing the dishes and scrubbing the toilets.
"
78,"As the passing of Keith Richards was announced on the evening news, just as had been done with Mick Jagger, Charlie Watts, and Ronnie Wood before him, Jorge gazed at the television in his Tijuana home and felt a sickening knot form in his stomach, for he realized that finally, after all the albums, concert tours, and era-defining cultural impact, the Rolling Stones would gather no más.
"
79,"With a whole Holst of problems Mahler Liszt unRaveling from the Verdi beginning, Chaz was the most clueless employee ever at SCHUBERTTER BELIEVE IT!, but the straw that Baroque the camel's Bach—that led his supervisor to finally fly Orff the Handel—was watching as Chaz lost his balance while attempting to climb a ladder with his arms containing the entire store inventory, and he decided once and for all that Chaz was destined for the Chopin block.
"
80,"Enid shrewdly considered the lushness of litigation for copyright infringement as she once more reviewed her genealogical studies which revealed that her aunt, Senta Berger, whose first husband was Gregor Mendel and second was Carl Czerny made her a Senta Mendel Czerny.
"
81,"As the angry mob of poets filled the National Mall, a group of sonneteers and ballad-mongers surged toward the Capitol Building, but it wasn't until the Japanese poem enthusiasts stormed the White House that I realized this was a genuine haiku d'etat.                     
"
82,"Although Snake-Eye Slade had told him to get out of town (in some old-timey western vernacular), Allthumbs McGubbins reckoned that ever since the unfortunate pistol-in-the-holster discharge accident, he couldn’t quite manage a skedaddle but felt that his departure would require something faster than a mosey.
"
83,"Lou, the bartender, knew that gunfire in the saloon was pert near sure when Rex threw down his cards at the poker game, rose from his chair and accused Charlie of cheating, and then Charlie replying, “Yeah, well, if you spent more time with your missus then she wouldn’t be spending so much time rollin’ round with me in your hayloft.”
"
84,"Folk peered out from shuttered up houses, hotels, saloons, and storefronts as the fearsome gunslingers faced each other down in the midst of the muddy thoroughfare, knitted brows beaded with sweat, eyes narrowed and unblinking, lips curled into cruel sneers, hands poised at holstered six-shooters, when a stagecoach came tearing up the road and flattened both those bastards but good.
"
85,"A young and only slightly slack-shouldered Igor acted on his hunch —that University of Ingolstadt organic chemistry morgue interns (whose collective job was to replace decaying corpses with ‘fresh’ cadavers) might better recall the destination protocol with an appropriate mnemonic device: “to Victor go the spoils.”
"
86,"The gentle, rhythmic sound of water lapping at the metal hull of the boat transported Phillip back to a simpler time of marshmallow campfires and magical summers at the lake until, upon waking, he came to realize it was only the sound of the Roomba vacuuming robot which had short-circuited and was running repeatedly into the baseboard heat register.
"
87,"Our story opens, unfortunately, in Florida; a place that's only good for unhappy old couples living in mobile homes—oh, and the childhood trauma of making awkward conversation with the cast members dressed as princesses at Disney World.
"
88,"The best job in the world is often debated and Grogslac had thought his new job as head of the volcano virgin sacrifice procurement and delivery committee would be it, as he was expecting potential ‘clients’ to be lining up to prove they weren’t eligible, but he found they took one look at him and started climbing.
"
89,"Digby was fine with wearing a mask, since he wanted to do his part to help flatten the proverbial curve, but the elastic straps on the one his wife made for him chafed the back of his ears like his first jock strap, which was two sizes too small and abraded his inner thighs until they were raw.
"
90,"As Professor Quinter surveyed his students, his gaze was drawn to their scrappy sets of cookware and their bemused faces staring stupidly at the history professor's presentation on Carthage, and with a sigh, Quinter realized that the students had misread the day's agenda, which was ""Hannibal Lecture.""
"
91,"Having lost part of her left ear while working in a circus knife-throwing act during the summer between her junior and senior years, Karen felt all the more reassured about her decision to major in statistics, but she couldn't help but to ponder the probability of regaining physical symmetry were she to return to the circus for one more summer after she graduated.
"
92,"“Dilly, Dilly,” Nelda sobbed, “Tell me you still care, Dilly,” as his blood spurted rhythmically onto her freshly-starched, pink pinafore—the one given to her on her 16th birthday by her maternal grandmother, Nana Gertrude, the one she had worn the previous Sunday to the witch dunking, the one she swore never to stain— which was now permanently stained, but she mused that it didn’t matter since it was in the same color family.
"
93,"The rules of drama are many and varied, but the most important, as stated by the great writer Chekhov, is that if there is a banana covered in axle grease in act one, then you’d better hope that the theater burns down before act five.
"
94,"Call me Ishmael, for my tale is that of the only survivor of the attack by a great white whale on the “Pequod,” our Nantucket whaling vessel, and though the story is so fantastic you may be tempted to question my veracity, I need only remind you that writers write and readers read, and you really should stay in your own lane.
"
95,"“You know, Pierre,” said Harry Sackville-Soup to the friend seated opposite him in the Chloroform Club’s smoking room, using much the same tone that precipitated their trek across the Dark Continent last year and that cost poor Fellowes three of his toes the year before that, “I’ll wager I can turn a guttersnipe into a ragamuffin in time for Ascot.”
"
96,"Emile Zola wandered the dank and soggy streets of a gloomy Parisian night, the injustice of the Dreyfus affair weighing on him like a thousand baguettes, dreaming of some massage or therapy to relieve the tension and pain in his aching shoulders and back, and then suddenly he thought of his Italian friends and their newly invented warm water bath with air jets and he rapturously exclaimed that oft misquoted declaration — ""Jacuzzi!""  
"
97,"Dropping his now-empty Remington .30-06 and tearing across the tundra after two weeks of hunting in the Alaskan wilderness in the company of none other than three-time Olympic sprinter Usain Bolt—the rustic outing being the spoils of his winning bid at the Sun Valley Country Day School live-auction fundraiser—Bart Michaelman realized with dismay that, in this particular instance, he did in fact have to outrun the bear.
"
98,"As they sprinted together down the echoing, looping ramp of the deserted Guggenheim Museum, closely pursued by three swarthy members of the resolutely vicious Cannelloni gang, square-jawed British Royal Marine art historian/world's deadliest sniper John Savage and his voluptuous young modern art critic/Navajo linguist Samantha Silver cursed architect/interior designer/writer/educator Frank Lloyd Wright for designing such a circuitous route out of the building.
"
99,"Three days without food or water, archeologist Phil Thompson with his leg hopelessly trapped in a wilderness rock-fall, and with hungry buzzards circling overhead, saw his entire life pass before him and he once again experienced, as a child, his mother’s comforting words and tender touch, as she gently awakened him from his recurring nightmare of being eaten by birds.
"
100,"Anthropologist Roland Weatherby stumbled upon the detritus of the cannibal camp, including the smoldering remains of his faithful guide Davey, and raged in disbelief at the thought that, even in this digital information age, primitive tribes feasted on the red meat of human flesh paired with a subpar 2016 Chardonnay.
"
101,"Old man Buckman had been murdering and dismembering teenagers in our town for years, and getting away with it, and it's important to emphasize this right up front, because young readers like you have painfully short attention spans, and unless a story grabs you right off the bat, you'll be back on your video games or phones or skateboards in the blink of an eye.
"
102,"There were two goats, drooling over the scrumptious olive-colored grass, but eternally separated from it by paralyzing fear of the gargantuan goat-munching ogre under the bridge, and there was Tom, the socially awkward ogre who bit his fingernails so noisily that the sound resembled the crunching of bones.
"
103,"If I wanted to fulfill my lifelong dream of being a dystopian YA’s protagonist, I needed several things: missing or deceased parents (check), a complicated romantic life involving multiple partners and predictable behavior (check), a tough exterior that protected my sensitive inner workings (check), and finally, a life of danger, uncertainty, and constant struggle to survive (check); it turns out, turtles are well-equipped to star in YA adventures!
"
104,"Realising that his symptoms indicated a virtually undetectable, fast acting neurotoxin, CIA coroner Quinn Abner frantically wrote up the details, lay on the floor and, as a professional courtesy, did his best to draw a chalk outline of himself.
"
105,"Olivia followed her breasts into my office where I was studying the dead flies on the window sill and dropped a large brown envelope on my desk, which rearranged the dust as it came to rest next to my right elbow, causing me to lose interest in the flies as I watched her walk away, watched carefully while wondering if the motion of her hips could bring a dead man back to life, which led to wondering what she could do to a man who was still alive.
"
106,"As he pounded on the door, Billy ‘Four-Toes’ Capalone, wondered, not for the first time, if he wouldn’t have been better off in the joint, or even taking a concrete nap, but instead, he straightened his tie and gripped his bible, determined not to blow his cover in the Jehovah’s Witness Protection Program.
"
107,"Eyes bleary from yet another night of fruitlessly staking out the Ritz Motel in West Hollywood’s seedier quarter, hoping to get some usable dirt on Mrs. Hennigan’s wayward hubby Bill, Niles Cranworth, P.I., pushed the start button, cranked the wheel over, and pointed his well-traveled Chrysler 300 southward on La Cienega Boulevard (“La Cienega,” he noted with irony, being Spanish for “the cienega”).
"
108,"Detective Wilhelm Schmidt’s raspy voice poured through the telephone receiver like a dump truck of gravel unburdening its load—much like the trucks that worked around the clock at Rohrer’s Quarry off of 1-81, transporting payloads of lime, sandstone, crushed rock, and gypsum—though with Detective Schmidt’s heavy German accent, excavation on its own would not suffice, and a second, albeit entirely different industry would need to be invoked to really paint a crystal clear picture of his voice.
"
109,"Prisoner #4420991 selected two large snow cones for his pre-execution last meal, much to everyone’s surprise, but #4420991 knew that death by lethal injection would come as sweet relief when balanced against the snow cone headache he expected to have.
"
110,"“I remember the moon had a face like Hannibal Lecter and that the wind blowing through the trees reminded me of the music from Psycho,” stated Effie Laudermilk as she sat in the courtroom stand on trial for the murder (which she vehemently denied) of her boyfriend whose partially eaten body was found in his car at the bottom of a pond.
"
111,"It was a Dark & Stormy Night; the rain fell in torrents outside the Breast Western—the country-themed strip club where the exotic dance duo of Stormy and Dark rattled the house (for it was a Tuesday), and fiercely agitated the lustful flames of the patrons who struggled in the darkness to rearrange their Wranglers. 
"
112,"It was a dark and stormy night; the suburb was devoid of most life and color, and all you could see was the dull gaslights, dark clouds, and deep indigo sky; but to Jade, it was almost the same, because, you know, according to modern studies, dogs can see only blue, yellow, and grey.
"
113,"He was a dark and stormy knight; his blows fell in torrents— except at occasional intervals, when they were checked by a violent gust of wind to which he fiercely agitated a scanty flame in his struggle to light it, for there was jesting in his jousting.
"
114,"It was a bright and shiny day, the sun scorched the pavement—except under a spreading chestnut tree, where it flattened the shadows and starkly enhanced the contrasts (for it is in Hollywood that the script begins), illuminating the story line, and manifestly motivating the florid actors who fussed and fumed about their lines.
"
115,"Driven from the sea by pollution, Aglaope the Siren found an economy apartment in New York City with the hope of luring the big city buses to their doom, but to her dismay she found that her song was drowned out by police cars, fire trucks and jackhammers, except for one joyous day when she was fairly sure that she caused a skateboarder to crash into a light pole.
"
116,"The High Gondonderil gazed on with horror as the Elgaborian legions marched at a single, pitiless pace into the once peaceful streets of Sar-Andrada, the capital city of the kingdom of Xanthil, located in a fantasy universe which might seem extremely confusing at present but which will doubtless make perfect sense to you, dear reader, once you realize that, like most fantasy universes, it’s basically just Tolkien’s Middle-earth with different names for things.
"
