,0
48,"An anomaly which often struck me in the character of my friend Sherlock Holmes was that, although in his methods of thought he was the neatest and most methodical of mankind, and although also he affected a certain quiet primness of dress, he was none the less in his personal habits one of the most untidy men that ever drove a fellow-lodger to distraction."
49,"In glancing over the somewhat incoherent series of Memoirs with which I have endeavoured to illustrate a few of the mental peculiarities of my friend Mr. Sherlock Holmes, I have been struck by the difficulty which I have experienced in picking out examples which shall in every way answer my purpose."
50,"Not everybody knows how I killed old Phillip Mathers, smashing his jaw in with my spade; but first it is better to speak of my friendship with John Divney because it was he who first knocked old Mathers down by giving him a great blow in the neck with a special bicycle-pump which he manufactured himself out of a special iron bar."
51,"What if this young woman, who writes such bad poems, in competition with her husband, whose poems are equally bad, should stretch her remarkably long and well-made legs out before you, so that her skirt slips up to the tops of her stockings?"
52,"The human race, to which so many of my readers belong, has been playing at children's games from the beginning, and will probably do it till the end, which is a nuisance for the few people who grow up."
53,"IF YOU HAPPEN to have read another book about Christopher Robin, you may remember that he once had a swan (or the swan had Christopher Robin, I don’t know which) and that he used to call this swan Pooh."
54,"Francis Marion Tarwater's uncle had been dead for only half a day when the boy got too drunk to finish digging his grave and a Negro named Buford Munson, who had come to get a jug filled, had to finish it and drag the body from the breakfast table where it was still sitting and bury it in a decent and Christian way, with the sign of its Saviour at the head of the grave and enough dirt on top to keep the dogs from digging it up."
55,"He was an inch, perhaps two, under six feet, powerfully built, and he advanced straight at you with a slight stoop of the shoulders, head forward, and a fixed from-under stare which made you think of a charging bull."
56,"The Nellie, a cruising yawl, swung to her anchor without a flutter of the sails, and was at rest. The flood had made, the wind was nearly calm, and being bound down the river, the only thing for it was to come to and wait for the turn of the tide."
57,"No one saw him slip from the boat in the unanimous night, no one saw the bamboo canoe as it sank into the sacred mud, and yet within days there was no one who did not know that the taciturn man had come there from the South, and that his homeland was one of those infinite villages that lie upriver, on the violent flank of the mountain, where the language of the Zend is uncontaminated by Greek and where leprosy is uncommon."
58,"The question I find most difficult to answer; the one which always crops up sooner or later when the subject is mentioned, is, approximately: 'But how on earth did you come to get yourself mixed up in a crazy affair like this, anyway?'"
59,"In the late winter of 1928, when she was sixteen years old, my mother's mother Magdalena Schön journeyed alone by train from the Black Rock district of Buffalo, New York, five hundred miles eastward to the seaport of Edmunston, Massachusetts."
60,"Through this evening's tide of faces unregistered, unrecognized, amid hurrying black shoes, furled umbrellas, the crowd descending like a single organism into the station's airless heart, comes Shinya Yamazaki, his notebook clasped beneath his arm like the egg case of some modest but moderately successful marine species."
61,"Princeton, in the summer, smelled of nothing, and although Ifemelu liked the tranquil greenness of the many trees, the clean streets and stately homes, the delicately overpriced shops, and the quiet, abiding air of earned grace, it was this, the lack of a smell, that most appealed to her, perhaps because the other American cities she knew well had all smelled distinctly."
62,"I have read that the period of upheaval that journalists have begun to refer to as ""the Apocalypse"" or more commonly, more bitterly, ""the Pox"" lasted from 2015 through 2030--a decade and a half of chaos."
63,"None of the four women and men assembled in the octagonal conference room were present when the chamber below the southwestern flanks of Arsia Mons, more than one hundred meters below the extinct caldera, was opened."
64,"One summer afternoon Mrs. Oedipa Maas came home from a Tupperware party whose hostess had put perhaps too much kirsch in the fondue to find that she, Oedipa, had been named executor, or she supposed executrix, of the estate of one Pierce Inverarity, a California real estate mogul who had once lost two million dollars in his spare time but still had assets numerous and tangled enough to make the job of sorting it all out more than honorary."
65,"On a snow-swept winter evening of 1991, Jonathan Pine, the English night manager of the Hotel Meister Palace in Zurich, forsook his office behind the reception desk and, in the grip of feelings he had not known before, took up his position in the lobby as a prelude to extending his hotel's welcome to a distinguished late arrival."
66,"There is much more that the Encyclopedia has to say on the subject of the Mule and his Empire but almost all of it is not germane to the issue at immediate hand, and most of it is considerably too dry for our purposes in any case."
67,"Though the evening breeze had chilled his back on the way across, it hadn’t yet begun its nightly job of sweeping out from among the island’s clustered vines and palm boles the humid air that the day had left behind, and Benjamin Hurwood’s face was gleaming with sweat before the black man had led him even a dozen yards into the jungle."
68,"I first met Dean not long after my wife and I split up. I had just gotten over a serious illness that I won't bother to talk about, except it had something to do with the miserably weary split-up and my feeling that everything was dead. "
69,"Into the face of the young man who sat on the terrace of the Hotel Magnifique at Cannes there had crept a look of furtive shame, the shifty, hangdog look which announces that an Englishman is about to talk French."
70,"The year Janet started at Blackstock College, the Office of Residential Life had spent the summer removing from all the dormitories the old wooden bookcases that, once filled with books, fell over unless wedged."
71,"Now she was back in the town of her childhood, standing on a corner across from the village triangle of green, a small pyramid of luggage at her feet, Amy's one clear thought was, ""Why on earth have I come?"""
72,"Late in the winter of my 17th year, my mother decided I was depressed, presumably because I rarely left the house, spent quite a lot of time in bed, read the same book over and over, ate infrequently and devoted quite a bit of my abundant free time thinking about death."
73,"Down in the laundry room with the bloody-wet floors and the ceiling-high stacks of sheets, wraps, and blankets, Vinita Lynch was elbows-deep in a vat of dirty pillowcases because she'd promised - she'd sworn on her mother's life - that she'd find a certain windup pocket watch belonging to Private Hugh Morton before the device was plunged into a tub of simmering soapy water and surely destroyed for good."
74,"When May Eddings hollered at Dr. David Harper, on his hands and knees at the bottom of a two-meter survey pit (number 13) in the red clay dirt of Harv Eddings's west cowfield, he'd never in his life felt like more of an impostor. "
75,"The day of the countess's famous harvest party began with a driving rain that hammered down all the ancient Von Lingenfels castle's sore spots--springing leaks, dampening floors, and turning its yellow facade a slick, beetle-like black."
76,"Her notebooks, of course, where she'd written down everything she'd learned about surviving Maya dialects, socks, a pint bottle of Scotch she'd bought on a whim at the airport's duty free shop months ago, clean underwear.  "
77,"One evening, it was toward the end of October, Harry Arno said to the woman he'd been seeing on and off the past few years, ""I've made a decision. I'm going to tell you something I've never told anyone before in my life."""
78,When Chili first came to Miami Beach twelve years ago they were having one of their off-and-on cold winters: thirty-four degrees the day he met Tommy Carlo for lunch at Vesuvio's on South Collins and had his leather jacket ripped off.
79,"In the middle years of the nineteenth century there first became abundant in this strange world of ours a class of men, men tending for the most part to become elderly, who are called, and who, though they dislike it extremely, are very properly called 'Scientists'."
80,"Once upon a time, a girl named September grew very tired indeed of her parents' house, where she washed the same pink-and-yellow teacups and matching gravy boats every day, slept on the same embroidered pillow, and played with the same small and amiable dog."
81,"There had been something loose about the station dock all morning, skulking in amongst the gantries and the lines and the canisters which were waiting to be moved, lurking wherever shadows fell among the rampway accesses of the many ships at dock at Meetpoint."
82,"In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort."
83,"An easterly is the most disagreeable wind in Lyme Bay -- Lyme Bay being that largest bite from the underside of England's outstretched southwestern leg -- and a person of curiosity could at once have deduced several strong probabilities about the pair who began to walk down the quay at Lyme Regis, the small but ancient eponym of the inbite, one incisively sharp and blustery morning in the lat March of 1867."
84,"Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, ""and what is the use of a book,"" thought Alice 'without pictures or conversation?'"
85,"I was born in 1927, the only child of middle-class parents, both English, and themselves born in the grotesquely elongated shadow, which they never rose sufficiently above history to leave, of that monstrous dwarf Queen Victoria."
86,"Once on a dark winter's day, when the yellow fog hung so thick and heavy in the streets of London that the lamps were lighted and the shop windows blazed with gas as they do at night, an odd-looking little girl sat in a cab with her father and was driven rather slowly through the big thoroughfares."
87,"Squire Trelawney, Dr Livesey, and the rest of these gentlemen having asked me to write down the whole particulars about Treasure Island, from the beginning to the end, keeping nothing back but the bearings of the island, and that only because there is still treasure not yet lifted, I take up my pen in the year of grace 17-, and go back to the time when my father kept the Admiral Benbow inn, and the brown old seaman, with the sabre cut, first took up his lodging under our roof."
88,"Lest anyone should suppose that I am a cuckoo’s child, got on the wrong side of the blanket by lusty peasant stock and sold into indenture in a shortfallen season, I may say that I am House-born and reared in the Night Court proper, for all the good it did me."
89,"Mme. Vauquer (nee de Conflans) is an elderly person, who for the past forty years has kept a lodging-house in the Rue Nueve-Sainte-Genevieve, in the district that lies between the Latin Quarter and the Faubourg Saint-Marcel."
90,"It was winter—that is, about the second week in November—and great gusts were rattling at the windows, and wailing and thundering among our tall trees and ivied chimneys—a very dark night, and a very cheerful fire blazing, a pleasant mixture of good round coal and spluttering dry wood, in a genuine old fireplace, in a sombre old room."
91,"He was of medium height, somewhat chubby, and good-looking, with curly red hair and an innocent, gay face, more remarkable for a humorous air about the eyes and large mouth than for any strength of chin or nobility of nose."
92,"Some time within the first ten years of the last century, there stood in the fair city of Dublin, and in one of those sinuous and narrow streets which lay in the immediate vicinity of the Castle, a goodly and capacious hostelry, snug and sound, and withal carrying in its aspect something staid and aristocratic, and perhaps in nowise the less comfortable that it was rated, in point of fashion, somewhat obsolete."
93,"The black people who live in the Quarters at Blue Brook Plantation believe they are far the best black people living on the whole Neck, as they call that long, narrow, rich strip of land lying between the sea on one side and the river with its swamps and deserted rice fields on the other."
94,"An abandoned auto cout in the San Berdoo foothills; Buzz Meeks checked in with ninety-four thousand dollars, eighteen pounds of high-grade heroin, a 10-gauge pump, a .38 special, a .45 automatic, and a switchblade he’d bought off a pachuco at the border—right before he spotted the car parked across the line: Mickey Cohen goons in an LAPD unmarked, Tijuana cops standing by to bootsack his goodies, dump his body in the San Ysidro River."
95,"Kublai Khan does not necessarily believe everything Marco Polo says when he describes the cities visited on his expeditions, but the emperor of the Tartars does continue listening to the young Venetian with greater attention and curiosity than he shows any other messenger or explorer of his."
96,"Not everybody knows how I killed old Phillip Mathers, smashing his jaw in with my spade; but first it is better to speak of my friendship with John Divney because it was he who first knocked old Mathers down by giving him a great blow in the neck with a special bicycle-pump which he manufactured himself out of a hollow iron bar."
97,"Sir Walter Elliot, of Kellynch-hall, in Somersetshire, was a man who, for his own amusement, never took up any book but the Baronetage; there he found occupation for an idle hour, and consolation in a distressed one; there his faculties were roused into admiration and respect, by contemplating the limited remnant of the earliest patents; there any unwelcome sensations, arising from domestic affairs, changed naturally into pity and contempt."
98,"Our story opens where countless stories have ended in the last twenty-six years; with an idiot - in this case, my brother Shaun - deciding that it would be a good idea to go out and poke a zombie with a stick to see what happens. "
99,"Almost every Saturday, just before the All-Night Vigil Service, from two windows in the cellar of merchant Petúnnikoff's old and filthy house, opening on the narrow court-yard encumbered with various utensils, and built up with wooden servants'-quarters ricketty with age, broke forth the vehement shrieks of a woman"
100,"Minks—Herbert Montmorency—was now something more than secretary, even than private secretary: he was confidential-private-secretary, adviser, friend; and this, more because he was a safe receptacle for his employer's enthusiasms than because his advice or judgment had any exceptional value."
101,"A considerable number of hunting parties were out that year without finding so much as a fresh trail; for the moose were uncommonly shy, and the various Nimrods returned to the bosoms of their respective families with the best excuses the facts of their imaginations could suggest."
102,"Act one, scene one opens run Lillian Hellman clawing her way, stumbling and scrambling, through the thorny nighttime underbrush of some German schwarzwald, a Jewish baby clamped to either of her tits, another brood of infants clinging to her back."
103,"I began the arduous task of documenting, preserving, restoring, organizing, collecting, categorizing, and cross-referencing the whole historical truth of the Royal Chicano Air Force (RCAF) several lifetimes ago when I was incarnated and initiated in a body much different from this current one."
104,"I was born in 1927, the only child of middle-class parents, both English, and themselves born in the grotesquely elongates shadow, which they never rose sufficiently above history to leave, of that monstrous dwarf Queen Victoria."
105,"On the cool October morning when Cayetana Chávez brought her baby to light, it was the start of that season in Sinaloa when the humid torments of summer finally gave way to breezes and falling leaves, and small red birds skittered through the corrals, and the dogs grew new coats."
106,"At night I would lie in bed and watch the show, how bees squeezed through the cracks of my bedroom wall and flew circles around the room, making that propeller sound,  a high-pitched zzzzzz that hummed along my skin."
107,"""La parlate d'amor, O cari fior, Recate i miei sospiri, Narrate i miei matiri, Ditele o cari fior——"" Miss Bouverie ceased on the high note, as abruptly as string that snaps beneath the bow, and revolved with the music-stool, to catch but her echoes in the empty room."
108,"A hooded wagon was creeping across a depressing desert in the middle of Australia; layers of boxes under the hood, and of brass-handled, mahogany drawers below the boxes, revealed the licensed hawker of the bush."
109,"My wonder upon discovering the Book of Fish remains with me yet, luminous as the phosphorescent marbling that seized my eyes that strange morning; glittering as those eerie swirls that coloured my mind and enchanted my soul -- which there and then began the process of unravelling my heart and, worse still, my life into this poor, scraggy skein that is this story you are about to read."
110,"Barry Laverty - Doctor Barry Laverty - his houseman's year just finished, ink barely dry on his degree, pulled his beat-up Volkswagen Beetle to the side of the road and peered at a map lying on the passenger seat."
111,"I am doomed to remember a boy with a wrecked voice - not because of his voice, or because he was the smallest person I ever knew, or even because he was the instrument of my mother's death, but because he is the reason I believe in God; I am a Christian because of Owen Meany."
112,"I hope you will be ready to own publicly, whenever you shall be called to it, that by your great and frequent urgency you prevailed on me to publish a very loose and uncorrect account of my travels; with direction to hire some young gentlemen of either university to put them in order, and correct the style, as my cousin Dampier did by my advice, in his book called A Voyage round the World "
113,"In the month of July of the year 1348, between the feasts of St. Benedict and of St. Swithin, a strange thing came upon England, for out of the east there drifted a monstrous cloud, purple and piled, heavy with evil, climbing slowly up the hushed heaven."
114,"The tower, which was not supposed to be there, plunges into the earth in a place just before the black pine forest begins to give way to swamp and then the reeds and wind-gnarled trees of the marsh flats."
115,"“The terror, which would not end for another twenty-eight years—if it ever did end—began, so far as I know or can tell, with a boat made from a sheet of newspaper floating down a gutter swollen with rain.”  Excerpt From It Stephen King https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewBook?id=357912911 This material may be protected by copyright."
116,"In Poland's deepest autumn, a tall young man in an expensive overcoat, double-breasted dinner jacket beneath it and - in the lapel of the dinner jacket - a large ornamental gold-on-black enamel Hakenkreuz (swastika) emerged from a fashionable apartment building in Straszewskiego Street, on the edge of the ancient center of Cracow, and saw his chauffeur waiting with fuming breath by the open door of an enormous and, even in this blackened world, lustrous Adler limousine."
117,"It was the best of times, it was the worst of times, it was the age of wisdom, it was the age of foolishness, it was the epoch of belief, it was the epoch of incredulity, it was the season of Light, it was the season of Darkness, it was the spring of hope, it was the winter of despair, we had everything before us, we had nothing before us, we were all going direct to Heaven, we were all going direct the other way."
118,"Once on a dark winter's day, when the yellow fog hung so thick and heavy in the streets of London that the lamps were lighted and the shop windows blazed with gas as they do at night, an odd-looking little girl sat in a cab with her father and was driven rather slowly through the big thoroughfares."
119,"If you really want to hear about it, the first thing you'll probably want to know is where I was born, and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it."
120,"Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her."
121,"The studio was filled with the rich odour of roses, and when the light summer wind stirred amidst the trees of the garden, there came through the open door the heavy scent of the lilac, or the more delicate perfume of the pink-flowering thorn."
122,"Yes, it could begin this way, right here, just like that, in a rather slow and ponderous way, in this neutral place that belongs to all and to none, where people pass by almost without seeing each other, where the life of the building regularly and distantly resounds."
123,"On the first Monday of the month of April, 1625, the small town of Meung, the birthplace of the author of the ""Romance of the Rose,"" appeared to be in a state of revolution, as complete as if the Huguenots were come to make a second siege of La Rochelle."
124,"A destiny that leads the English to the Dutch is strange enough; but one that leads from Epsom into Pennsylvania, and thence into the hills that shut in Altamont over the proud coral cry of the cock, and the soft stone smile of an angel, is touched by that dark miracle of chance which makes new magic in a dusty world."
125,"The rays of the September sun flooded the great halls of the old chateau of the Dukes of Charmerace, lighting up with their mellow glow the spoils of so many ages and so many lands, jumbled together with the execrable taste which so often afflicts those whose only standard of value is money."
126,"The thing was: One mil­lion years ago, back in 1986 A.D., Guayaquil was the chief sea­port of the lit­tle South Amer­i­can democ­racy of Ecuador, whose cap­i­tal was Quito, high in the Andes Moun­tains."
127,"One evening of late summer, before the nineteenth century had reached one-third of its span, a young man and woman, the latter carrying a child, were approaching the large village of Weydon-Priors, in Upper Wessex, on foot."
128,"A throng of bearded men, in sad-coloured garments and grey steeple-crowned hats, inter-mixed with women, some wearing hoods, and others bareheaded, was assembled in front of a wooden edifice, the door of which was heavily timbered with oak, and studded with iron spikes."
129,"Squire Trelawney, Dr. Livesey, and the rest of these gentlemen having asked me to write down the whole particulars about Treasure Island, from the beginning to the end, keeping nothing back but the bearings of the island, and that only because there is still treasure not yet lifted, I take up my pen in the year of grace 17__ and go back to the time when my father kept the Admiral Benbow inn and the brown old seaman with the sabre cut first took up his lodging under our roof. "
130,"The stranger came early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking as it seemed from Bramblehurst railway station and carrying a little black portmanteau in his thickly gloved hand."
131,"On a February morning, when a weather front is moving in off the Pacific but has not quite arrived, and the winds are changeable and gusty and clouds drive over and an occasional flurry of fine rain darkens the terrace bricks, this place conforms to none of the clichés about California with which they advertise the Sunshine Cities for the Sunset Years."
132,"Buck did not read the newspapers, or he would have known that trouble was brewing, not alone for himself, but for every tide-water dog, strong of muscle and with warm, long hair, from Puget Sound to San Diego."
133,"I wore a black suit and a white shirt, a black tie and black shoes, all polished and shiny: clothes that normally would make me feel uncomfortable, as if I were in a stolen uniform, or pretending to be an adult."
134,On my naming day when I come 12 I to gone front spear and kilt a wyld boar he be parbly ben the las wyld pig on the Bundel Downs and how there hadnt ben none for a long befor him nor I aint looking to see none agen
135,"On page 22 of Liddell Hart's History Of World War I you will read that an attack against the Serre-Montauban line by thirteen British divisions (supported by 1,400 artillery pieces), planned for the 24th of July, 1916, had to be postponed until the morning of the 29th."
136,"The history of the Galaxy has got a little muddled, for a number of reasons: partly because those who are trying to keep track of it have got a little muddled, but also because some very muddling things have been happening anyway."
137,"I remember him (I have no right to utter this sacred verb, only one man on earth had that right and he is dead) with a dark passion flower in his hand, seeing it as no one has ever seen it, though he might look at it from the twilight of dawn till that of evening, a whole lifetime."
138,"Of the many problems which exercised the reckless discernment of Lönnrot, none was so strange - so rigorously strange, shall we say - as the periodic series of bloody events which culminated at the villa of Triste-le-Roy, amid the ceaseless aroma of the eucalypti."
